timestamp,zone,flow_rate_lpm,consumption_liters,duration_min,scenario,hour,day_of_week,is_weekend,calculated_consumption,consumption_difference,zone_id,model_prediction,anomaly_score,ml_status,severity
2026-07-16 17:10:00,AI Lab,4.76,5.38,1.13,Normal,17,3,0,5.378799999999999,0.0012000000000007,0,1,0.13571424252931275,Normal,Normal
2026-07-19 06:20:00,AIML Department,4.06,22.92,5.64,Normal,6,6,1,22.898399999999995,0.0216000000000065,1,1,0.10699226359327402,Normal,Normal
2026-07-12 21:00:00,HOD Department,3.56,20.34,5.71,Normal,21,6,1,20.3276,0.0123999999999995,7,1,0.08521075484726859,Normal,Normal
2026-07-22 08:30:00,HOD Department,3.17,12.23,3.86,Normal,8,2,0,12.2362,0.0061999999999997,7,1,0.1460715051925105,Normal,Normal
2026-07-31 11:50:00,BT Department,3.15,17.44,5.54,Normal,11,4,0,17.451,0.0109999999999992,2,1,0.13898457000754993,Normal,Normal
2026-07-19 22:40:00,Mechanical Lab,6.33,27.33,4.32,Normal,22,6,1,27.3456,0.0156000000000027,9,1,0.0699938698758702,Normal,Normal
2026-07-13 14:10:00,AIML Department,4.35,26.17,6.01,Normal,14,0,0,26.1435,0.0265000000000057,1,1,0.1438004940656823,Normal,Normal
2026-07-09 03:10:00,HOD Department,4.63,40.52,8.76,Normal,3,3,0,40.5588,0.0387999999999948,7,1,0.1332527229738022,Normal,Normal
2026-07-29 11:40:00,Physics Lab,4.65,20.97,4.51,Normal,11,2,0,20.9715,0.0015,11,1,0.17284422686705736,Normal,Normal
2026-07-27 10:50:00,IT Department,4.11,21.36,5.2,Normal,10,0,0,21.372000000000003,0.012000000000004,8,1,0.14006436007655898,Normal,Normal
2026-07-11 23:50:00,AI Lab,4.87,21.39,4.4,Normal,23,5,1,21.428,0.0380000000000002,0,1,0.07776674459885125,Normal,Normal
2026-07-21 18:40:00,AI Lab,6.41,42.28,6.59,Normal,18,1,0,42.2419,0.0381,0,1,0.14119271035771097,Normal,Normal
2026-07-22 01:50:00,Physics Lab,4.98,12.54,2.52,Normal,1,2,0,12.549600000000002,0.0096000000000024,11,1,0.12606425518220027,Normal,Normal
2026-07-31 03:10:00,Electronics Department,3.5,31.46,8.98,Normal,3,4,0,31.43,0.0300000000000011,6,1,0.11620654081733678,Normal,Normal
2026-07-31 11:40:00,Electronics Department,4.72,13.73,2.91,Normal,11,4,0,13.7352,0.0052000000000003,6,1,0.14931787447724143,Normal,Normal
2026-08-01 01:20:00,AI Lab,24.81,1482.62,59.77,Critical,1,5,1,1482.8937,0.2737000000001899,0,-1,-0.17361870972628202,Anomaly,Critical
2026-08-25 11:30:00,BT Department,22.42,1015.45,45.29,Critical,11,1,0,1015.4018,0.0481999999999516,2,-1,-0.09971157046225287,Anomaly,Suspicious
2026-08-05 00:50:00,AIML Department,4.95,36.2,7.32,Normal,0,2,0,36.234,0.0339999999999989,1,1,0.11901332039074786,Normal,Normal
2026-07-20 10:00:00,CSE Department,11.21,174.04,15.53,Suspicious,10,0,0,174.09130000000002,0.0513000000000261,4,1,0.0185526085471045,Normal,Normal
2026-07-17 07:40:00,Physics Lab,15.15,201.05,13.27,Suspicious,7,4,0,201.0405,0.0095000000000027,11,1,0.006934838135695398,Normal,Normal
2026-07-28 15:20:00,Physics Lab,5.65,27.15,4.81,Normal,15,1,0,27.1765,0.0265000000000021,11,1,0.15745319428727544,Normal,Normal
2026-08-11 16:40:00,Mechanical Lab,5.33,23.92,4.48,Normal,16,1,0,23.878400000000003,0.0415999999999989,9,1,0.1550749162497046,Normal,Normal
2026-08-12 21:50:00,AI Lab,4.5,24.09,5.35,Normal,21,2,0,24.075,0.0150000000000005,0,1,0.15583510544072887,Normal,Normal
2026-08-23 02:00:00,Biotech Department,4.69,40.58,8.65,Normal,2,6,1,40.56850000000001,0.0114999999999909,3,1,0.0775814717936556,Normal,Normal
