timestamp,zone,flow_rate_lpm,consumption_liters,duration_min,scenario,hour,day_of_week,is_weekend,calculated_consumption,consumption_difference,zone_id
2026-07-16 17:10:00,AI Lab,4.76,5.38,1.13,Normal,17,3,0,5.378799999999999,0.001200000000000756,0
2026-07-19 06:20:00,AIML Department,4.06,22.92,5.64,Normal,6,6,1,22.898399999999995,0.021600000000006503,1
2026-07-12 21:00:00,HOD Department,3.56,20.34,5.71,Normal,21,6,1,20.3276,0.012399999999999523,7
2026-07-22 08:30:00,HOD Department,3.17,12.23,3.86,Normal,8,2,0,12.2362,0.006199999999999761,7
2026-07-31 11:50:00,BT Department,3.15,17.44,5.54,Normal,11,4,0,17.451,0.010999999999999233,2
2026-07-19 22:40:00,Mechanical Lab,6.33,27.33,4.32,Normal,22,6,1,27.3456,0.015600000000002723,9
2026-07-13 14:10:00,AIML Department,4.35,26.17,6.01,Normal,14,0,0,26.143499999999996,0.02650000000000574,1
2026-07-09 03:10:00,HOD Department,4.63,40.52,8.76,Normal,3,3,0,40.5588,0.03879999999999484,7
2026-07-29 11:40:00,Physics Lab,4.65,20.97,4.51,Normal,11,2,0,20.9715,0.0015000000000000568,11
2026-07-27 10:50:00,IT Department,4.11,21.36,5.2,Normal,10,0,0,21.372000000000003,0.012000000000004007,8
2026-07-11 23:50:00,AI Lab,4.87,21.39,4.4,Normal,23,5,1,21.428,0.038000000000000256,0
2026-07-21 18:40:00,AI Lab,6.41,42.28,6.59,Normal,18,1,0,42.2419,0.03810000000000002,0
2026-07-22 01:50:00,Physics Lab,4.98,12.54,2.52,Normal,1,2,0,12.549600000000002,0.009600000000002495,11
2026-07-31 03:10:00,Electronics Department,3.5,31.46,8.98,Normal,3,4,0,31.43,0.030000000000001137,6
2026-07-31 11:40:00,Electronics Department,4.72,13.73,2.91,Normal,11,4,0,13.7352,0.0052000000000003155,6
2026-08-01 01:20:00,AI Lab,24.81,1482.62,59.77,Critical,1,5,1,1482.8937,0.2737000000001899,0
2026-08-25 11:30:00,BT Department,22.42,1015.45,45.29,Critical,11,1,0,1015.4018000000001,0.048199999999951615,2
2026-08-05 00:50:00,AIML Department,4.95,36.2,7.32,Normal,0,2,0,36.234,0.03399999999999892,1
2026-07-20 10:00:00,CSE Department,11.21,174.04,15.53,Suspicious,10,0,0,174.09130000000002,0.0513000000000261,4
2026-07-17 07:40:00,Physics Lab,15.15,201.05,13.27,Suspicious,7,4,0,201.0405,0.009500000000002728,11
2026-07-28 15:20:00,Physics Lab,5.65,27.15,4.81,Normal,15,1,0,27.1765,0.02650000000000219,11
2026-08-11 16:40:00,Mechanical Lab,5.33,23.92,4.48,Normal,16,1,0,23.878400000000003,0.04159999999999897,9
2026-08-12 21:50:00,AI Lab,4.5,24.09,5.35,Normal,21,2,0,24.075,0.015000000000000568,0
2026-08-23 02:00:00,Biotech Department,4.69,40.58,8.65,Normal,2,6,1,40.56850000000001,0.011499999999990962,3
2026-07-06 20:20:00,BT Department,13.26,359.79,27.13,Suspicious,20,0,0,359.74379999999996,0.04620000000005575,2
2026-07-23 07:10:00,Physics Lab,11.16,212.45,19.04,Suspicious,7,3,0,212.4864,0.03640000000001464,11
2026-08-25 11:20:00,New Seminar Hall,5.73,40.02,6.99,Normal,11,1,0,40.0527,0.0326999999999984,10
2026-07-23 10:10:00,Mechanical Lab,3.54,10.69,3.02,Normal,10,3,0,10.6908,0.0007999999999999119,9
2026-07-06 15:10:00,Physics Lab,13.48,219.52,16.28,Suspicious,15,0,0,219.45440000000002,0.06559999999998922,11
2026-07-22 17:00:00,Biotech Department,7.08,21.38,3.02,Normal,17,2,0,21.3816,0.0015999999999998238,3
2026-07-06 23:10:00,CSE Department,18.32,675.41,36.87,Critical,23,0,0,675.4584,0.0484000000000151,4
2026-08-20 17:50:00,Chemistry Lab,5.86,49.12,8.39,Normal,17,3,0,49.165400000000005,0.04540000000000788,5
2026-08-18 11:10:00,Physics Lab,2.75,23.14,8.42,Normal,11,1,0,23.155,0.015000000000000568,11
2026-07-12 13:40:00,AIML Department,14.11,820.61,58.18,Critical,13,6,1,820.9198,0.30979999999999563,1
2026-08-17 17:40:00,AI Lab,7.06,14.14,2.0,Normal,17,0,0,14.12,0.02000000000000135,0
2026-07-08 13:40:00,CSE Department,5.21,24.05,4.61,Normal,13,2,0,24.0181,0.03190000000000026,4
2026-08-07 06:20:00,BT Department,17.92,1612.53,89.98,Critical,6,4,0,1612.4416000000003,0.08839999999963766,2
2026-08-03 15:00:00,BT Department,13.36,285.98,21.41,Suspicious,15,0,0,286.0376,0.057599999999979445,2
2026-07-04 17:10:00,BT Department,6.76,24.23,3.59,Normal,17,5,1,24.2684,0.038399999999999324,2
2026-07-08 09:30:00,Electronics Department,4.29,26.31,6.13,Normal,9,2,0,26.2977,0.012299999999999756,6
2026-07-20 21:10:00,BT Department,4.97,19.88,4.0,Normal,21,0,0,19.88,0.0,2
